lot,wafer,IC X,IC Y,Set temperature [C],PS_VDD set voltage [mV],Test Stage,Sample Time,Test Name,Soft Bin,Hard Bin,iddq meas,nelvt_leak,nelvt_ref,nlvt_leak,nlvt_ref,nlvtll_leak,nlvtll_ref,nsvt_leak,nsvt_ref,nulvt_leak,nulvt_ref,nulvtll_leak,nulvtll_ref,pelvt_leak,pelvt_ref,plvt_leak,plvt_ref,plvtll_leak,plvtll_ref,psvt_leak,psvt_ref,pulvt_leak,pulvt_ref,pulvtll_leak,pulvtll_ref,nelvt_ratio,nelvt_1/ratio,nlvt_ratio,nlvt_1/ratio,nlvtll_ratio,nlvtll_1/ratio,nsvt_ratio,nsvt_1/ratio,nulvt_ratio,nulvt_1/ratio,nulvtll_ratio,nulvtll_1/ratio,pelvt_ratio,pelvt_1/ratio,plvt_ratio,plvt_1/ratio,plvtll_ratio,plvtll_1/ratio,psvt_ratio,psvt_1/ratio,pulvt_ratio,pulvt_1/ratio,pulvtll_ratio,pulvtll_1/ratio,iddq_est,ult
U5497V,1,0,0,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,2475.7786898,2.3895940199661827,2.681187237751816,4.076257405850654,4.228259049104476,5.050756277027908,5.108686963073838,4.001297165241625,6.593361369690461,3.243032294662872,3.089649312006267,3.484440578248185,3.4636799499040536,2.339063715407602,2.7821377111419268,4.119556268282986,4.312335011382253,5.207822136776064,5.2610215004860486,4.004384253400258,6.553673079497473,2.8916654493174825,3.2058414733344307,3.677805641463844,3.629048486656052,1.1220262585816814,0.8912447390171323,1.0372895104797977,0.9640510097681896,1.0114697053012462,0.98866035706148,1.6478059732642505,0.6068675658573032,0.9527038374212212,1.0496441398901049,0.9940419048975232,1.0059938067732577,1.189423653924329,0.8407433269892074,1.0467959970794662,0.9552959724626138,1.010215280459428,0.9898880162901692,1.6366244258234028,0.6110137330358426,1.108648814852044,0.9019988896424844,0.9867428680139864,1.0134352447995862,56.23938512819652,U5497V_1_0_0
U5497V,1,0,1,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,2687.6875375,2.394941922838961,2.653447923448996,4.104359730576473,4.240824509447115,5.060365039792965,5.108173179385108,4.0100617569115,6.6301343717804855,3.2435849724675205,3.0592545483561024,3.5220339557529963,3.4528806811411714,2.380292750258867,2.7923614465109567,4.104573820696108,4.291311972173751,5.161958785150145,5.268452437628598,3.9887952060989154,6.531508994616156,2.90411616262511,3.176425668297259,3.654559358938029,3.65629281487662,1.107938317060984,0.9025773227634992,1.0332487373984334,0.9678211681321298,1.009447567362472,0.9906408538016916,1.653374629543594,0.604823602667742,0.943170773796257,1.0602533791150095,0.9803655287028484,1.0200277046900357,1.173116813554667,0.8524300295124874,1.0454951377743702,0.9564846012854544,1.0206304732197422,0.9797865400249514,1.6374641106240304,0.6107004077291834,1.0937667401795668,0.9142717210763122,1.0004743269347511,0.9995258979446237,56.20116966300485,U5497V_1_0_1
U5497V,1,0,3,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,3184.2178072,2.400436371050332,2.683636376903792,4.133027826857904,4.2408366904214025,5.073617698910906,5.102354205624191,3.964379651590384,6.663184883823855,3.285767478080229,3.1282055473337955,3.481376511570375,3.449880201234966,2.334637508442857,2.8240396434894937,4.114052293073597,4.309804812332306,5.184303491657547,5.270899008316354,3.9782136383238913,6.574115815578957,2.92635107159764,3.195542637318303,3.69376236944374,3.644486923181175,1.1179785514287737,0.8944715430559939,1.0260847175678125,0.9745783977470762,1.0056639085596564,0.9943679906264428,1.6807635669179153,0.5949676799775835,0.9520471452111116,1.0503681514409196,0.9909529146787972,1.0091296823362546,1.2096266051054132,0.8267013934542674,1.0475814368204013,0.9545797251192044,1.0167034041888472,0.983571015775074,1.6525296058129186,0.6051328802112905,1.091988814443135,0.9157602960520754,0.9866598223344872,1.013520544126292,56.34153213628779,U5497V_1_0_3
U5497V,1,0,5,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,3447.3333449,2.387059803805458,2.68725889688333,4.108516174411837,4.284120813340548,5.026318749973931,5.114682993507107,3.977033336014687,6.630799249616807,3.2568342248587823,3.116250315647221,3.505417610375203,3.477017817835652,2.382731841742359,2.787383060345158,4.100623792346397,4.345516419545953,5.130877249957389,5.308661454289289,4.014909801784441,6.549449256725228,2.942913230725092,3.1730787150295474,3.692670468974497,3.608764350802357,1.1257610272684808,0.8882879898821651,1.0427416204473994,0.9590103438768844,1.017580310348132,0.9827234173368417,1.6672727355766674,0.5997818945045756,0.956834183288019,1.0451131632480437,0.9918983140680602,1.008167859363237,1.1698265879163725,0.8548275533565554,1.0597208228798347,0.9436447585152276,1.0346498650563851,0.9665105402062786,1.6312817921374727,0.6130148726111248,1.0782100817317497,0.9274630398501436,0.9772776588441582,1.0232506503655427,56.32660532657896,U5497V_1_0_5
U5497V,1,0,7,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,3123.8436586,2.400445505490037,2.6616532051050377,4.156888620509961,4.236894821940841,5.034208818427836,5.134791120345402,3.988898012523767,6.63858025467291,3.2363255313071937,3.073047317096401,3.51361820411947,3.4443901725982444,2.347983288623278,2.76169464867425,4.097593663105352,4.277960474466688,5.165430462670259,5.249120323473759,3.960242773850906,6.541254695129523,2.90018370009293,3.186017108046892,3.685015098693936,3.6352333926375056,1.108816342223806,0.9018626096314856,1.019246655066997,0.9811167836839928,1.0199797635627237,0.9804116078804,1.6642642238106995,0.600866127921851,0.9495482723751704,1.0531323462878104,0.9802972242573024,1.020098777447447,1.1761985964957822,0.8501965594749679,1.044017739724989,0.95783813047412,1.0162019141305478,0.9840564026644154,1.6517307318432055,0.6054255580048912,1.098557001042659,0.9102850366898422,0.9864907728399612,1.0136942255639632,56.150932531514485,U5497V_1_0_7
U5497V,1,0,8,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,3220.6881132,2.402459877736561,2.6922779427028685,4.111298907307476,4.2364636661782935,5.029896292782501,5.082128128997105,3.9847510822162375,6.63493614390722,3.300173614709916,3.0844665651606613,3.5340115895262283,3.4498103396042423,2.3161741524731627,2.769296267985212,4.087592481197056,4.29762531483984,5.165384650341181,5.284523633594828,3.976704749095473,6.533302279243562,2.866245059166041,3.223185110867309,3.703049728472628,3.615127261446213,1.1206338834841874,0.8923521006618844,1.0304440911966648,0.9704553682662104,1.0103842769660187,0.9897224479806824,1.6650817094996568,0.6005711277078959,0.9346376661555684,1.069933340171583,0.9761740311855416,1.0244075011763245,1.1956338710663077,0.8363764394765477,1.051383016924739,0.9511281653806504,1.0230648811886212,0.9774551139299944,1.6428934737308836,0.6086821915051361,1.1245322867839929,0.8892585937748946,0.9762567414770634,1.0243207114626562,56.21599320831245,U5497V_1_0_8
U5497V,1,0,9,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,2492.7996359,2.4126572159571738,2.675777751427869,4.081769363110587,4.26930934606523,5.070159378646318,5.091662573422488,3.969429326020834,6.617489569292123,3.297133794893576,3.0786338487923914,3.513083944463377,3.495179868297286,2.327900305386289,2.7669720619797835,4.0873551793751135,4.260248491835284,5.157114567200885,5.249259931222598,3.982485607822325,6.553830148737907,2.920976563064196,3.2087792123968706,3.6819830822575215,3.648764747239232,1.1090583998963597,0.9016657735007002,1.0459457569184467,0.9560725242064066,1.0042411279745431,0.99577678322825,1.6671135888255868,0.5998391511549367,0.933730336803564,1.070973021422113,0.9949036013801184,1.005122504947024,1.1886127836220357,0.8413168811399794,1.042299556772701,0.9594170826440008,1.0178676201238102,0.9824460275869304,1.6456632350070504,0.6076577386719804,1.098529598960822,0.9103077431377106,0.9909781402368848,1.0091039947268248,56.26987898154572,U5497V_1_0_9
U5497V,1,1,0,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,2438.2557805,2.405905418336144,2.6820247065116227,4.116670393449119,4.273660993311425,5.035103361838707,5.066190924625918,4.015345609738333,6.6112734469058925,3.242110833266007,3.059591077057891,3.527120426002674,3.484183924661789,2.3603797449870627,2.779001460180075,4.080888469088779,4.308752571574198,5.146564260229401,5.272624849529072,3.985454732219891,6.506774000598673,2.919625249057006,3.194188587395035,3.685768264239552,3.61835661353538,1.1147673080043334,0.8970481936631323,1.0381353338640191,0.963265546774064,1.0061741657624796,0.9938637206434326,1.6465017185249786,0.607348288039354,0.943703418669296,1.0596549511392963,0.9878267549289363,1.01232325912446,1.177353544946348,0.8493625421967622,1.0558368855731797,0.9471159926915532,1.0244941251921824,0.9760914927768984,1.632630261233556,0.6125085536785508,1.0940406096387572,0.9140428528792834,0.9817102851098316,1.0186304607047303,56.22862879557327,U5497V_1_1_0
U5497V,1,1,1,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,2812.3526149,2.360657533713083,2.658496241616491,4.138366434578453,4.234811330405519,5.037203880886553,5.101461634019974,3.977135172110622,6.622547098889643,3.284472149601509,3.1262135896985748,3.517821539870042,3.460825333703032,2.3604365254710937,2.776854781154742,4.082703248038127,4.278557142432359,5.156889021736415,5.251878999164921,3.99899677402897,6.529915113023419,2.9218343539316978,3.1888198140248623,3.6782374305010648,3.633620766606711,1.1261676899973443,0.8879672262683704,1.0233050642932953,0.9772256924093404,1.0127566313877514,0.9874040504970364,1.6651551461790348,0.6005446413174533,0.951816135837189,1.0506230797615443,0.983797868788672,1.0164689635191804,1.1764157820768089,0.8500395992942481,1.0479716213732522,0.9542243125721376,1.018420015832825,0.9819131443348924,1.6328883172477686,0.612411754948127,1.0913759740465443,0.9162745229696184,0.9878700968229024,1.0122788443704376,56.19884361506052,U5497V_1_1_1
U5497V,1,1,2,-5.0,850.0,WS1,16/03/2024,PRTN_FULL,5.0,1.0,2789.7759602,2.373702698697377,2.6487563171679023,4.114417426339496,4.2461705260648825,5.083877348175271,5.116493002395421,3.95738995911839,6.641005739009581,3.265530354888595,3.097051313884655,3.486173974056734,3.4548079957758526,2.357343516156142,2.7898770639980355,4.093832749911623,4.296990882396552,5.1708488913740025,5.259719452889952,3.9805185179816527,6.533558214079832,2.9400970649107485,3.22142833807098,3.693410877725788,3.642276688740933,1.1158753447183876,0.89615744691659,1.0320222977090112,0.9689713121701948,1.0064155076895898,0.9936253886783624,1.678127707305609,0.595902204371319,0.9484068366561892,1.0543998222595206,0.9910027501454892,1.0090789353038525,1.1834834613103726,0.844963223138567,1.049625410928015,0.9527208369658856,1.0171868417319645,0.9831035547975624,1.6413837002805138,0.6092420680363154,1.0956877500807178,0.91266877805865,0.9861552936627672,1.014039073182694,56.24525973280168,U5497V_1_1_2
